player_id,player_name,season,overall_pick,organization,organization_type,height_wo_shoes,weight,wingspan,bmi,total_pts,total_games_with_points,pts_per_game,total_assists,total_games_with_assists,assists_per_game,total_rebounds,total_games_with_rebounds,rebounds_per_game
600015,Oscar Robertson,1960,1,Cincinnati,College/University,,,,,,,,,,,,,
78497,Jerry West,1960,2,West Virginia,College/University,,,,,,,,,,,,,
77093,Darrall Imhoff,1960,3,California,College/University,,,,,,,,,,,,,
77639,Jackie Moreland,1960,4,Louisiana Tech,College/University,,,,,,,,,,,,,
78121,Lee Shaffer,1960,5,North Carolina,College/University,,,,,,,,,,,,,
78530,Lenny Wilkens,1960,6,Providence,College/University,,,,,,,,,,,,,
80142,Al Bunge,1960,7,Maryland,College/University,,,,,,,,,,,,,
78060,Thomas Sanders,1960,8,New York University,College/University,,,,,,,,,,,,,
76144,Walt Bellamy,1961,1,Indiana,College/University,,,,,,,,,,,,,
78260,Tom Stith,1961,2,St. Bonaventure,College/University,,,,,,,,,,,,,
78147,Larry Siegfried,1961,3,Ohio State,College/University,,,,,,,,,,,,,
78100,Ray Scott,1961,4,Portland,College/University,,,,,,,,,,,,,
78630,Wayne Yates,1961,5,Memphis,College/University,,,,,,,,,,,,,
78458,Ben Warley,1961,6,Tennessee State,College/University,,,,,,,,,,,,,
77584,Tom Meschery,1961,7,St. Mary's (CA),College/University,,,,,,,,,,,,,
77025,Cleo Hill,1961,8,Winston-Salem State,College/University,,,,,,,,,,,,,
77855,Gary Phillips,1961,9,Houston,College/University,,,,,,,,,,,,,
77531,Bill McGill,1962,1,Utah,College/University,,,,,,,,,,,,,
77038,Paul Hogue,1962,2,Cincinnati,College/University,,,,,,,,,,,,,
76133,Zelmo Beaty,1962,3,Prairie View A&M,College/University,,,,,,,,,,,,,
76382,Len Chappell,1962,4,Wake Forest,College/University,,,,,,,,,,,,,
77023,Wayne Hightower,1962,5,Kansas,College/University,,,,,,,,,,,,,
76663,Leroy Ellis,1962,6,St. John's (NY),College/University,,,,,,,,,,,,,
76970,John Havlicek,1962,7,Ohio State,College/University,,,,,,,,,,,,,
77015,Art Heyman,1963,1,Duke,College/University,,,,,,,,,,,,,
78335,Rod Thorn,1963,2,West Virginia,College/University,,,,,,,,,,,,,
600001,Nate Thurmond,1963,3,Bowling Green,College/University,,,,,,,,,,,,,
77596,Eddie Miles,1963,4,Seattle,College/University,,,,,,,,,,,,,
78455,Gerry Ward,1963,5,Boston College,College/University,,,,,,,,,,,,,
77051,Tom Hoover,1963,6,Villanova,College/University,,,,,,,,,,,,,
78270,Roger Strickland,1963,7,Jacksonville,College/University,,,,,,,,,,,,,
80335,Bill Green,1963,8,Colorado State,College/University,,,,,,,,,,,,,
76105,Jim Barnes,1964,1,Texas-El Paso,College/University,,,,,,,,,,,,,
76329,Joe Caldwell,1964,2,Arizona State,College/University,,,,,,,,,,,,,
76227,Gary Bradds,1964,3,Ohio State,College/University,,,,,,,,,,,,,
77103,Lucious Jackson,1964,4,Texas-Pan American,College/University,,,,,,,,,,,,,
77662,Jeff Mullins,1964,5,Duke,College/University,,,,,,,,,,,,,
77307,Barry Kramer,1964,6,New York University,College/University,,,,,,,,,,,,,
76458,Mel Counts,1964,7,Oregon State,College/University,,,,,,,,,,,,,
77012,Fred Hetzel,1965,1,Davidson,College/University,,,,,,,,,,,,,
600013,Rick Barry,1965,2,Miami (FL),College/University,,,,,,,,,,,,,
78238,Dave Stallworth,1965,3,Wichita State,College/University,,,,,,,,,,,,,
78173,Jerry Sloan,1965,4,Evansville,College/University,,,,,,,,,,,,,
76487,Billy Cunningham,1965,5,North Carolina,College/University,,,,,,,,,,,,,
78466,Jim Washington,1965,6,Villanova,College/University,,,,,,,,,,,,,
76219,Nate Bowman,1965,7,Wichita State,College/University,,,,,,,,,,,,,
80471,Ollie Johnson,1965,8,San Francisco,College/University,,,,,,,,,,,,,
78045,Cazzie Russell,1966,1,Michigan,College/University,,,,,,,,,,,,,
76166,Dave Bing,1966,2,Syracuse,College/University,,,,,,,,,,,,,
77357,Clyde Lee,1966,3,Vanderbilt,College/University,,,,,,,,,,,,,
77074,Lou Hudson,1966,4,Minnesota,College/University,,,,,,,,,,,,,
77463,Jack Marin,1966,5,Duke,College/University,,,,,,,,,,,,,
78495,Walt Wesley,1966,6,Kansas,College/University,,,,,,,,,,,,,
76376,Jerry Chambers,1966,7,Utah,College/University,,,,,,,,,,,,,
76106,Jim Barnett,1966,8,Oregon,College/University,,,,,,,,,,,,,
76908,Matt Guokas,1966,9,Saint Joseph's,College/University,,,,,,,,,,,,,
78081,Dave Schellhase,1966,10,Purdue,College/University,,,,,,,,,,,,,
78439,Jimmy Walker,1967,1,Providence,College/University,,,,,,,,,,,,,
600006,Earl Monroe,1967,2,Winston-Salem State,College/University,,,,,,,,,,,,,
76965,Clem Haskins,1967,3,Western Kentucky,College/University,,,,,,,,,,,,,
76592,Lloyd Dove,1967,4,St. John's (NY),College/University,,,,,,,,,,,,,
76750,Walt Frazier,1967,5,Southern Illinois,College/University,,,,,,,,,,,,,
78372,Al Tucker,1967,6,Oklahoma Baptist,College/University,,,,,,,,,,,,,
77962,Pat Riley,1967,7,Kentucky,College/University,,,,,,,,,,,,,
78617,Tom Workman,1967,8,Seattle,College/University,,,,,,,,,,,,,
76502,Mel Daniels,1967,9,New Mexico,College/University,,,,,,,,,,,,,
77342,Dave Lattin,1967,10,Texas-El Paso,College/University,,,,,,,,,,,,,
76843,Mal Graham,1967,11,New York University,College/University,,,,,,,,,,,,,
77921,Craig Raymond,1967,12,Brigham Young,College/University,,,,,,,,,,,,,
76979,Elvin Hayes,1968,1,Houston,College/University,,,,,,,,,,,,,
78392,Wes Unseld,1968,2,Louisville,College/University,,,,,,,,,,,,,
77227,Bob Kauffman,1968,3,Guilford,College/University,,,,,,,,,,,,,
76192,Tom Boerwinkle,1968,4,Tennessee,College/University,,,,,,,,,,,,,
76002,Zaid Abdul-Aziz,1968,5,Iowa State,College/University,,,,,,,,,,,,,
77636,Otto Moore,1968,6,Texas-Pan American,College/University,,,,,,,,,,,,,
77815,Charlie Paulk,1968,7,Northeastern State,College/University,,,,,,,,,,,,,
76883,Gary Gregor,1968,8,South Carolina,College/University,,,,,,,,,,,,,
78567,Ron Williams,1968,9,West Virginia,College/University,,,,,,,,,,,,,
77061,Wilmer Hosket,1968,10,Ohio State,College/University,,,,,,,,,,,,,
77013,Bill Hewitt,1968,11,Southern California,College/University,,,,,,,,,,,,,
76379,Don Chaney,1968,12,Houston,College/University,,,,,,,,,,,,,
76951,Skip Harlicka,1968,13,South Carolina,College/University,,,,,,,,,,,,,
76922,Shaler Halimon,1968,14,Utah State,College/University,,,,,,,,,,,,,
76003,Kareem Abdul-Jabbar,1969,1,California-Los Angeles,College/University,,,,,,,,,,,,,
78432,Neal Walk,1969,2,Florida,College/University,,,,,,,,,,,,,
76027,Lucius Allen,1969,3,California-Los Angeles,College/University,,,,,,,,,,,,,
76603,Terry Driscoll,1969,4,Boston College,College/University,,,,,,,,,,,,,
76339,Larry Cannon,1969,5,La Salle,College/University,,,,,,,,,,,,,
78202,Bingo Smith,1969,6,Tulsa,College/University,,,,,,,,,,,,,
77878,Bob Portman,1969,7,Creighton,College/University,,,,,,,,,,,,,
76815,Herm Gilliam,1969,8,Purdue,College/University,,,,,,,,,,,,,
78510,Jojo White,1969,9,Kansas,College/University,,,,,,,,,,,,,
76130,Butch Beard,1969,10,Louisville,College/University,,,,,,,,,,,,,
78461,Johnny Warren,1969,11,St. John's (NY),College/University,,,,,,,,,,,,,
77505,Willie McCarter,1969,12,Drake,College/University,,,,,,,,,,,,,
77747,Carlos Ogden,1969,13,Santa Clara,College/University,,,,,,,,,,,,,
76531,Mike Davis,1969,14,Virginia Union,College/University,,,,,,,,,,,,,
77973,Rick Roberson,1969,15,Cincinnati,College/University,,,,,,,,,,,,,
600005,Bob Lanier,1970,1,St. Bonaventure,College/University,,,,,,,,,,,,,
78350,Rudy Tomjanovich,1970,2,Michigan,College/University,,,,,,,,,,,,,
77459,Pete Maravich,1970,3,Louisiana State,College/University,,,,,,,,,,,,,
76462,Dave Cowens,1970,4,Florida State,College/University,,,,,,,,,,,,,
77326,Sam Lacey,1970,5,New Mexico State,College/University,,,,,,,,,,,,,
76055,Jim Ard,1970,6,Cincinnati,College/University,,,,,,,,,,,,,
77152,John Johnson,1970,7,Iowa,College/University,,,,,,,,,,,,,
