season,team,avg_fg3_pct,wins,total_games,win_pct
1983,DEN,0.3364390243902439,38,82,0.4634146341463415
1983,DET,0.344390243902439,49,82,0.5975609756097561
1983,GOS,0.3321951219512195,37,82,0.45121951219512196
1983,HOU,0.3364390243902439,29,82,0.35365853658536583
1983,IND,0.336609756097561,26,82,0.3170731707317073
1983,KCK,0.33625609756097563,38,82,0.4634146341463415
1983,LAL,0.34370731707317076,54,82,0.6585365853658537
1983,MIL,0.3310243902439024,50,82,0.6097560975609756
1983,NJN,0.3338780487804878,45,82,0.5487804878048781
1983,NYK,0.3298048780487805,47,82,0.573170731707317
1983,PHL,0.2848536585365854,52,82,0.6341463414634146
1983,PHX,0.3342317073170732,41,82,0.5
1983,POR,0.3321951219512195,48,82,0.5853658536585366
1983,SAN,0.3407317073170732,37,82,0.45121951219512196
